NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Joaçaba;4209003;CENTRO EDUCACIONAL GIRASSOL;42136385;1;0;1;0;0;0;1;0;0;0;0;1;286;21;-27.17732116;-51.50722004
Campos Novos;4203600;ESCOLA ISOLADA MUNICIPAL PROFESSORA ANDREIA DURIGON;42136393;2;0;1;0;0;0;0;1;0;0;0;1;12;1;;
Irati;4207858;CENTRO DE ENSINO MUNICIPAL DE IRATI;42136407;1;0;1;0;0;0;0;0;1;0;0;1;116;15;-26.65518082;-52.89192606
Chapecó;4204202;CEIM CARMEM ANTONIA BALBINOT PELIZZA;42136415;1;0;1;0;0;0;1;0;0;0;0;1;351;16;-27.07431028;-52.61114486
Chapecó;4204202;CEIM ALTO DA SERRA;42136423;2;0;1;0;0;0;0;0;1;0;0;1;26;6;-27.03166087;-52.78882219
Chapecó;4204202;CEIM CRIANCA FELIZ;42136431;1;0;1;0;0;0;0;1;0;0;0;1;389;24;-27.10800582;-52.6764506
Rancho Queimado;4214300;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE RANCHO QUEIMADO - APAE DE RANCHO QUEIMADO;42136458;1;0;1;0;0;0;1;0;0;0;0;1;;;-27.67184696;-49.01197376
Grão-Pará;4206108;ESC MUN PROFº GREGORIO WESSLER;42136466;1;0;1;0;0;0;1;0;0;0;0;1;211;10;-28.18881833;-49.21132333
Treze de Maio;4218400;CEM PROFª NAIR FORMENTIN SILVA;42136474;1;0;1;0;0;0;0;1;0;0;0;0;466;38;-28.55936485;-49.14134949
Morro da Fumaça;4211207;CENTRO DE ED JANICE BORTOLATTO;42136482;1;0;1;0;0;0;1;0;0;0;0;1;228;28;-28.65333702;-49.21766063
Urussanga;4219002;COLEGIO MONS AGENOR NEVES MARQUES LTDA;42136490;1;0;1;0;0;0;1;0;0;0;0;0;231;35;-28.526395;-49.327075
Peritiba;4212601;CENTRO DE EDUCACAO INFANTIL MATEUS PETTER;42136504;1;0;1;0;0;0;0;1;0;0;0;1;123;13;-27.37056937;-51.90025435
Barra Velha;4202107;UD DE BARRA VELHA;42136539;1;0;1;0;0;0;1;0;0;0;0;1;166;15;;
Joinville;4209102;ESCOLA MUNICIPAL AMADOR AGUIAR;42136547;1;0;1;0;0;0;1;0;0;0;0;1;859;27;-26.33272;-48.79797
Balneário Barra do Sul;4202057;EM MANOEL HENRIQUE BORGES;42136555;1;0;1;0;0;0;1;0;0;0;0;0;405;17;-26.4638347;-48.6234469
Araquari;4201307;CENTRO DE EDUCACAO INFANTIL JOAO GERALDO CORREA;42136563;1;3;1;0;0;0;0;0;1;0;0;1;50;8;;
Joinville;4209102;SENAI SC - JOINVILLE SUL;42136580;1;0;1;0;0;0;1;0;0;0;0;1;243;33;-26.3141418;-48.8402154
São José;4216602;CEI RECRIAR LTDA;42136598;1;0;1;0;0;0;1;0;0;0;0;0;79;11;-27.59839145;-48.60723781
Saudades;4217303;CEI CANTINHO ALEGRE;42136601;1;0;1;0;0;0;0;1;0;0;0;0;96;8;-26.92709;-52.99039667
Romelândia;4215208;ESCOLA MUN MILENA SCHAFER;42136628;1;0;1;0;0;0;0;1;0;0;0;0;154;12;-26.66831744;-53.31719409
São Bernardino;4215752;NUCLEO ESC ALDINO LEO SCHEID;42136644;1;0;1;0;0;0;0;1;0;0;0;1;216;12;-26.47280313;-52.96367602
Cocal do Sul;4204251;IEI PROF MARIA NUNES TRICHES;42136652;1;0;1;0;0;0;1;0;0;0;0;1;87;9;-28.60734198;-49.33412355
Palmitos;4212106;CENTRO DE EDUCACAO INFANTIL PROFESSORA LOURDES SANA STEFENS;42136660;1;0;1;0;0;0;0;1;0;0;0;1;110;21;-27.0709196;-53.1559112
Palmitos;4212106;CEI MUN TURMA DA MONICA;42136679;1;0;1;0;0;0;0;1;0;0;0;0;65;10;-27.0601858;-53.1631221
Florianópolis;4205407;CEI ARCANGELO LTDA EPP;42136733;1;0;1;0;0;0;1;0;0;0;0;1;90;8;;
São José do Cedro;4216701;ESCOLA INFANTIL TIA MONE;42136741;1;0;1;0;0;0;1;0;0;0;0;1;40;4;-26.4521586;-53.4931452
Herval d'Oeste;4206702;CENTRO DE EDUC PEQUENO PENSADOR;42136768;1;0;1;0;0;0;1;0;0;0;0;1;133;13;-27.1714265;-51.4966184
Palhoça;4211900;CENTRO DE ED ELCANA;42136776;1;0;1;0;0;0;0;1;0;0;0;0;643;28;-27.659345;-48.67456
Joaçaba;4209003;SENAI SC - JOACABA;42136806;1;0;1;0;0;0;1;0;0;0;0;0;83;11;-27.18436543;-51.51782742
Araquari;4201307;CRECHE MEIMEI;42136814;1;0;1;0;1;0;1;0;0;0;0;1;146;14;-26.4167112;-48.7550155
Saudades;4217303;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SAUDADES;42136881;1;0;1;0;0;0;0;1;0;0;0;1;559;21;-26.92996661;-52.99506899
Blumenau;4202404;EBM OLGA RUTZEN;42136903;1;0;1;0;0;0;1;0;0;0;0;1;309;25;-26.8607726;-49.0963356
Blumenau;4202404;INSTITUTO MAGICO DA APRENDIZAGEM LTDA;42136938;1;0;1;0;0;0;1;0;0;0;0;1;93;6;-26.93876314;-49.06571645
Blumenau;4202404;ESCOLA INFANTIL HAPPY KIDS LTDA;42136946;1;0;1;0;1;0;1;0;0;0;0;1;103;12;-26.88825667;-49.09599833
Blumenau;4202404;SENAI SC - BLUMENAU;42136954;1;0;1;0;0;0;1;0;0;0;0;0;838;67;-26.9066204;-49.0760841
Gaspar;4205902;ESCOLA DE ED INF MUNDO FELIZ;42136989;1;0;1;0;0;0;0;1;0;0;0;1;39;6;-26.9293019;-48.9566012
Pomerode;4213203;EEBM PROF CURT BRANDES;42137063;1;0;1;0;0;0;1;0;0;0;0;1;613;33;-26.72826617;-49.17047977
Rodeio;4215109;ESCOLA BASICA MUNICIPAL SANTO ANTONIO;42137110;1;0;1;0;0;0;1;1;0;0;0;1;566;28;-26.92158558;-49.37617426
Timbó;4218202;CENTRO DE EDUCACAO INFANTIL CRIANCA CRIATIVA;42137136;1;0;1;0;0;0;0;1;0;0;0;1;24;3;;
Timbó;4218202;INSTITUTO EDUCACIONAL FILEO;42137152;1;0;1;0;0;0;1;0;0;0;0;1;117;6;-26.8139582;-49.26379
