NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS
Florianópolis;4205407;INSTITUTO ESTADUAL DE EDUCACAO;42000017;1;0;1;0;0;0;1;0;0;0;0;1;4965;210
Florianópolis;4205407;NEIM CRISTO REDENTOR;42000033;1;0;1;0;0;0;1;0;0;0;0;0;89;13
Florianópolis;4205407;CEI MORRO DA CAIXA;42000041;1;0;1;0;0;0;1;0;0;0;0;0;80;5
Florianópolis;4205407;CENTRO EDUC NS MONTE SERRAT;42000068;1;0;1;0;0;0;1;0;0;0;0;0;80;5
Florianópolis;4205407;CEI GIRASSOL;42000106;1;0;1;0;0;0;1;0;0;0;0;1;371;20
Florianópolis;4205407;EEB PROF HENRIQUE STODIECK;42000220;1;0;1;0;0;0;1;0;0;0;0;0;510;33
Florianópolis;4205407;COLEGIO BOM JESUS CORACAO DE JESUS;42000238;1;0;1;0;0;0;1;0;0;0;0;1;991;58
Florianópolis;4205407;COLEGIO ADVENTISTA DE FLORIANOPOLIS - CENTRO;42000246;1;0;1;0;0;0;1;0;0;0;0;0;930;47
Florianópolis;4205407;EDUCANDARIO IMACULADA CONCEICAO;42000262;1;0;1;0;0;0;1;0;0;0;0;1;1391;93
Florianópolis;4205407;IFSC - CAMPUS FLORIANOPOLIS;42000351;1;0;1;0;0;0;1;1;0;0;0;1;2179;259
Florianópolis;4205407;NEIM NOSSA SENHORA DE LURDES;42000360;1;0;1;0;0;0;1;0;0;0;0;1;126;20
Florianópolis;4205407;CRECHE SAO FRANCISCO DE ASSIS;42000386;1;0;1;0;0;0;1;0;0;0;0;1;113;6
Florianópolis;4205407;ESCOLA SARAPIQUA LTDA;42000416;1;0;1;0;1;0;0;1;0;0;0;1;288;25
